Name	X	Y	Starport	Size	Atmosphere	Hydrospehere	Population	Government	Law	Tech	Bases	Remarks	Zone	Stars	Planets	Belts	Gas Giants
Zeykiede	01	1	B	4	3	0	6	9	8	A	KM	De Na Ni Po		K9 V	6	1	3
Rzhdioch	01	2	C	4	2	0	7	8	9	B		De Na Po		G8 V M1 V	6	0	3
Ezhfrepl	01	3	B	5	6	3	7	6	4	B	KM	Ri O:0304 Chir0		M1 V M4 V	9	1	0
Chantrel	01	4	C	5	6	6	5	7	7	A		Ni Ag		F1 V	5	2	0
Gyomar	01	8	D	8	B	2	8	8	9	5		Fl (Tethmari)		A8 V	8	2	4
Atson	01	11	B	3	1	0	6	9	8	8		Ni		K8 V	2	3	3
Yiktor	01	14	C	6	B	6	4	8	7	A		Fl Ni		G4 V M4 V	3	2	3
Xhosa	01	15	E	A	9	5	5	4	6	6		Lo Ni		M0 V	7	1	0
Junction	01	22	D	5	5	0	4	4	1	4		De Ni Po		M2 V M3 V	1	1	0
Uniqua	01	29	E	6	2	5	5	7	B	7		Ni		K9 V M9 V	5	1	0
Garoo	01	30	A	2	0	0	8	C	B	B	N	Na Va Ph Pi Pz (Garoo)		M1 V M5 V	4	1	0
Emape	01	33	A	5	6	4	6	2	2	B	IN	Ag Ni Pr Da	A	M0 V	2	0	3
Raweh	01	39	B	4	3	0	4	1	2	D	IN	De Lo Po Da	A	G3 V M1 V	3	2	0
Lothlorien	01	40	C	6	8	7	6	4	3	8		Lo Ga		K7 V	5	0	3
Idrianzh	02	2.5	C	8	6	8	6	8	6	6		Ag Ni Ri		G5 V M3 V	8	0	1
Prinx	02	12.5	C	4	3	6	6	3	5	7		Ni		A9 V K8 V	9	2	0
Rushu	02	15.5	E	7	6	6	6	8	4	4		Ag Ni Ri VargW		G0 V M3 V	2	0	3
Bael	02	18.5	B	2	0	0	4	7	6	A		Lo Ni Va		K2 V	6	1	2
Stern-Stern	02	23.5	B	4	2	1	6	5	8	D	I	He Ni Po DaryW		M0 V M3 V	3	0	1
886-945	02	30.5	D	8	3	3	1	0	0	3		Ni Lo Po		F8 V	7	0	4
Saxe	02	31.5	D	A	A	5	6	4	3	8		Fl Ni		A2 V	1	1	0
Andor	02	36.5	C	6	9	5	8	X	5	D		Ag An Pi Fo DroyW	R	F3 V	1	0	3
Galadriel	02	40.5	D	7	5	4	5	4	5	8		Ni Pa (minor)		G2 V	4	2	4
Rio	03	1	B	6	8	6	6	4	8	A	M	Ag Ni Ri		M0 V M1 V	2	0	1
Zhdienshdo	03	3	A	3	1	1	7	9	B	D	K	Ic Na		M2 V M9 V	8	0	1
Cronor	03	4	A	6	3	6	A	A	5	E	K	Hi Cp		F8 V	8	1	0
Brefrie	03	7	B	4	3	3	7	C	A	B	KM	Na Po An		F7 V M3 V	8	1	0
Mizan-fel	03	11	B	5	6	2	5	8	A	9	I	Ni		F3 V	7	2	3
Nonym	03	21	B	4	3	3	8	5	A	C	IM	Na Po Ph		G0 V	9	2	3
Laberv	03	25	B	5	5	4	5	2	5	B	IM	Ni Pa DaryW		G0 V	2	3	4
Ektron	03	26	C	4	3	2	6	5	2	8	I	Na Ni Po Asla2 Dary8		M1 V	6	2	3
Gothe	03	32	D	4	2	1	5	9	B	8	I	He Ni Po Da	A	F5 V	5	1	0
Mirriam	03	33	A	9	9	9	9	A	6	C	NW	Ph Pi Pz	A	G6 V	1	1	4
Candory	03	36	C	5	9	3	7	X	4	E		Ni An Fo DroyW	R	F6 V M3 V	4	2	0
Wonderay	03	40	E	8	8	A	5	6	A	5		Ni Wa		M1 V M3 V	5	1	0
Izhedriel	04	12.5	B	2	0	0	3	1	0	B	IKM	Lo Va Ni Droy5		M3 V M3 V	9	0	1
Attica	04	14.5	C	4	0	0	5	4	6	9		Ni Va		K1 V M6 V	2	1	0
Retinae	04	16.5	C	8	C	6	A	8	A	8		Fl Hi In Pz (Tashaki) RwZ		M1 V	1	1	0
Zamine	04	21.5	C	8	9	7	9	7	7	C	I	Hi In Dary9 Asla0	A	M3 V	4	2	3
Engrange	04	25.5	C	5	5	4	7	9	4	A		Ag Asla1 Dary8		M1 V M3 V	8	0	1
